Longitud de onda(nm),Potencia(W)
1.5448529e-06,0.0028219055384397507
1.5448593e-06,0.002818548819050193
1.5448645e-06,0.002815378364175558
1.5448694e-06,0.0028131406288594007
1.5448746e-06,0.002808851422742009
1.5448804e-06,0.002803443232551217
1.544885e-06,0.002800459275022149
1.5448893e-06,0.0027969160582870245
1.5448932000000001e-06,0.0027939321007579565
1.5448973e-06,0.002790948376059532
1.5449024e-06,0.002787218661978841
1.5449086e-06,0.002784048207104206
1.5449142e-06,0.0027810644824057817
1.5449189e-06,0.002778640016913414
1.5449241e-06,0.002775469794869423
1.5449294e-06,0.0027743508107960224
1.5449351e-06,0.002773791318759322
1.5449419e-06,0.002772485837340355
1.5449485e-06,0.002772299339994788
1.5449542000000001e-06,0.002773231826722622
1.5449592e-06,0.0027743508107960224
1.5449649e-06,0.0027782670222222805
1.5449707e-06,0.0027819969691336155
1.5449762e-06,0.0027851671911776066
1.5449804e-06,0.0027900158893316984
1.5449842e-06,0.0027915078680962324
1.5449873000000001e-06,0.0027948645874857903
1.5449911000000001e-06,0.0027971025556325912
1.5449964e-06,0.002802883740514517
1.5450019000000001e-06,0.0028062404599040747
1.545006e-06,0.0028094106819480658
1.5450104e-06,0.0028142596129328012
1.5450154e-06,0.0028157513588666916
1.5450205e-06,0.0028206000570207834
1.5450252e-06,0.002821532543748617
1.5450305000000001e-06,0.0028213460464030504
1.5450358e-06,0.0028269407339394093
1.5450404e-06,0.002827873220667243
1.5450452e-06,0.0028288057073950768
1.5450502e-06,0.002831229940056801
1.545055e-06,0.0028338409028947353
1.5450593e-06,0.0028344003949314356
1.5450632e-06,0.0028345868922770023
1.5450671000000001e-06,0.0028353328816592693
1.5450706000000001e-06,0.002834773389622569
1.5450751000000001e-06,0.0028360788710415363
1.5450805e-06,0.0028353328816592693
1.5450855e-06,0.002836451632902026
1.5450898e-06,0.0028353328816592693
1.5450949e-06,0.002836451632902026
1.5450997e-06,0.0028353328816592693
1.5451053e-06,0.0028360788710415363
1.5451110000000001e-06,0.0028358923736959696
1.5451167e-06,0.002835705876350403
1.5451218000000001e-06,0.0028362651355564594
1.5451272e-06,0.0028330949135124683
1.5451324e-06,0.002831975929439068
1.5451377e-06,0.0028308569453656673
1.5451428e-06,0.0028288057073950768
1.5451474e-06,0.0028280597180128098
1.5451512e-06,0.0028248894959688187
1.5451549000000001e-06,0.0028254487551748753
1.5451586e-06,0.0028233975172042847
1.5451634e-06,0.0028213460464030504
1.5451689e-06,0.0028189218137413263
1.5451736e-06,0.002815564861521125
1.5451784e-06,0.0028103431686758995
1.5451834e-06,0.0028084784280508757
1.5451889e-06,0.002802883740514517
1.5451943000000001e-06,0.0027978485450148582
1.5451995000000001e-06,0.0027946780901402235
1.5452048e-06,0.002789456397294998
1.5452108e-06,0.00278498069383204
1.5452167e-06,0.0027805049903690815
1.5452219e-06,0.0027749103028327227
1.5452273e-06,0.0027734183240681887
1.5452323000000001e-06,0.0027687561232596636
1.5452369e-06,0.0027687561232596636
1.5452409e-06,0.002767077647149563
1.545245e-06,0.0027674506418406963
1.5452493e-06,0.0027674506418406963
1.5452545e-06,0.0027681966312229633
1.5452599e-06,0.0027711805887520313
1.5452652e-06,0.0027734183240681887
1.5452705e-06,0.0027749103028327227
1.5452761e-06,0.0027797590009868145
1.5452823e-06,0.002784048207104206
1.5452879e-06,0.002787964418530464
1.545293e-06,0.0027937456034123898
1.5452988000000001e-06,0.002798407804220915
1.5453048e-06,0.002802883740514517
1.5453099e-06,0.002806799951940775
1.545315e-06,0.002810716163367033
1.5453203e-06,0.002814632374793291
1.5453250000000001e-06,0.002817056840285659
1.5453294e-06,0.0028194813057780266
1.5453334e-06,0.002821532543748617
1.5453369e-06,0.0028228380251675844
1.5453405e-06,0.0028235840145498514
1.5453459000000001e-06,0.0028254487551748753
1.5453513e-06,0.0028265677392482758
1.5453561e-06,0.0028289922047406435
1.5453609e-06,0.0028288057073950768
1.5453666e-06,0.0028289922047406435
